,filename,x,y,floor,orientation,sample_id,mac_address,timestamp,signal_strength
0,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:15:f9:6c:7d:71,1461870566097,-42
1,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:11:21:6c:4e:72,1461870566097,-71
2,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:11:21:6c:4e:71,1461870566097,-71
3,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:15:f9:6c:7d:21,1461870566097,-80
4,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:11:21:6c:4e:70,1461870566097,-71
5,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:15:f9:6c:7d:20,1461870566097,-80
6,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:15:f9:6c:7d:22,1461870566097,-81
7,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:11:21:6c:50:e1,1461870566097,-79
8,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:11:21:6c:50:e2,1461870566097,-78
9,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:15:f9:6c:7d:70,1461870566097,-43
10,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:15:f9:6c:7d:72,1461870566097,-43
11,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:11:21:6c:50:e0,1461870566097,-79
12,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:12:da:9e:32:31,1461870566097,-67
13,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:12:da:9e:32:30,1461870566097,-67
14,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:12:da:9e:32:32,1461870566097,-66
15,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:11:21:66:75:82,1461870566097,-83
16,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:11:21:66:75:81,1461870566097,-84
17,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:15:f9:6c:7a:e1,1461870566097,-86
18,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:15:f9:6c:7a:e0,1461870566097,-88
19,"altPoint(31,22).json",15.5,11.0,2,200.2269,0,00:11:21:66:75:80,1461870566097,-82
20,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:15:f9:6c:7d:71,1461870566097,-44
21,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:11:21:6c:4e:72,1461870566097,-68
22,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:11:21:6c:4e:71,1461870566097,-71
23,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:15:f9:6c:7d:21,1461870566097,-77
24,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:11:21:6c:4e:70,1461870566097,-71
25,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:15:f9:6c:7d:20,1461870566097,-76
26,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:15:f9:6c:7d:22,1461870566097,-76
27,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:11:21:6c:50:e1,1461870566097,-79
28,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:11:21:6c:50:e2,1461870566097,-79
29,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:15:f9:6c:7d:70,1461870566097,-44
30,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:15:f9:6c:7d:72,1461870566097,-45
31,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:11:21:6c:50:e0,1461870566097,-73
32,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:12:da:9e:32:31,1461870566097,-73
33,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:12:da:9e:32:30,1461870566097,-59
34,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:12:da:9e:32:32,1461870566097,-58
35,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:11:21:66:75:82,1461870566097,-85
36,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:11:21:66:75:81,1461870566097,-84
37,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:11:21:66:75:80,1461870566097,-82
38,"altPoint(31,22).json",15.5,11.0,2,200.2269,1,00:15:f9:6c:7a:d2,1461870566097,-89
39,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:15:f9:6c:7d:71,1461870566097,-44
40,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:11:21:6c:4e:72,1461870566097,-68
41,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:11:21:6c:4e:71,1461870566097,-68
42,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:15:f9:6c:7d:21,1461870566097,-76
43,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:11:21:6c:4e:70,1461870566097,-89
44,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:15:f9:6c:7d:20,1461870566097,-76
45,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:15:f9:6c:7d:22,1461870566097,-76
46,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:11:21:6c:50:e1,1461870566097,-79
47,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:11:21:6c:50:e2,1461870566097,-72
48,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:15:f9:6c:7d:70,1461870566097,-44
49,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:15:f9:6c:7d:72,1461870566097,-45
50,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:11:21:6c:50:e0,1461870566097,-77
51,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:12:da:9e:32:31,1461870566097,-71
52,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:12:da:9e:32:30,1461870566097,-71
53,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:12:da:9e:32:32,1461870566097,-71
54,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:11:21:66:75:82,1461870566097,-85
55,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:11:21:66:75:81,1461870566097,-84
56,"altPoint(31,22).json",15.5,11.0,2,200.2269,2,00:15:f9:6c:7a:d2,1461870566097,-87
57,"altPoint(31,22).json",15.5,11.0,2,200.2269,3,00:15:f9:6c:7d:71,1461870566097,-44
58,"altPoint(31,22).json",15.5,11.0,2,200.2269,3,00:11:21:6c:4e:72,1461870566097,-75
59,"altPoint(31,22).json",15.5,11.0,2,200.2269,3,00:11:21:6c:4e:71,1461870566097,-74
60,"altPoint(31,22).json",15.5,11.0,2,200.2269,3,00:15:f9:6c:7d:21,1461870566097,-77
61,"altPoint(31,22).json",15.5,11.0,2,200.2269,3,00:11:21:6c:4e:70,1461870566097,-75
62,"altPoint(31,22).json",15.5,11.0,2,200.2269,3,00:15:f9:6c:7d:20,1461870566097,-78
63,"altPoint(31,22).json",15.5,11.0,2,200.2269,3,00:15:f9:6c:7d:22,1461870566097,-77
64,"altPoint(31,22).json",15.5,11.0,2,200.2269,3,00:11:21:6c:50:e1,1461870566097,-78
65,"altPoint(31,22).json",15.5,11.0,2,200.2269,3,00:11:21:6c:50:e2,1461870566097,-78
66,"altPoint(31,22).json",15.5,11.0,2,200.2269,3,00:15:f9:6c:7d:70,1461870566097,-44
67,"altPoint(31,22).json",15.5,11.0,2,200.2269,3,00:15:f9:6c:7d:72,1461870566097,-45
68,"altPoint(31,22).json",15.5,11.0,2,200.2269,3,00:11:21:6c:50:e0,1461870566097,-77
69,"altPoint(31,22).json",15.5,11.0,2,200.2269,3,00:12:da:9e:32:31,1461870566097,-66
70,"altPoint(31,22).json",15.5,11.0,2,200.2269,3,00:12:da:9e:32:30,1461870566097,-67
71,"altPoint(31,22).json",15.5,11.0,2,200.2269,3,00:12:da:9e:32:32,1461870566097,-66
